1.4326613e-19 	0 	0 	0
0.010869565 	0 	0 	0
0.02173913 	0 	0 	0
0.032608696 	0 	0 	0
0.043478261 	0 	0 	0
0.054347826 	0 	0 	0
0.065217391 	0 	0 	0
0.076086957 	0 	0 	0
0.086956522 	0 	0 	0
0.097826087 	0 	0 	0
0.10869565 	0 	0 	0
0.11956522 	0 	0 	0
0.13043478 	0 	0 	0
0.14130435 	0 	0 	0
0.15217391 	0 	0 	0
0.16304348 	0 	0 	0
0.17391304 	0 	0 	0
0.18478261 	0 	0 	0
0.19565217 	0 	0 	0
0.20652174 	0 	0 	0
0.2173913 	0 	0 	0
0.22826087 	0 	0 	0
0.23913043 	0 	0 	0
0.25 	0 	0 	0
0.26086957 	0 	0 	0
0.27173913 	0 	0 	0
0.2826087 	0 	0 	0
0.29347826 	0 	0 	0
0.30434783 	0 	0 	0
0.31521739 	0 	0 	0
0.32608696 	0 	0 	0
0.33695652 	0 	0 	0
0.34782609 	0 	0 	0
0.35869565 	0 	0 	0
0.36956522 	0 	0 	0
0.38043478 	0 	0 	0
0.39130435 	0 	0 	0
0.40217391 	0 	0 	0
0.41304348 	0 	0 	0
0.42391304 	0 	0 	0
0.43478261 	0 	0 	0
0.44565217 	0 	0 	0
0.45652174 	0 	0 	0
0.4673913 	0 	0 	0
0.47826087 	0 	0 	0
0.48913043 	0 	0 	0
0.5 	0 	0 	0
0.51086957 	0 	0 	0
0.52173913 	0 	0 	0
0.5326087 	0 	0 	0
0.54347826 	0 	0 	0
0.55434783 	0 	0 	0
0.56521739 	0 	0 	0
0.57608696 	0 	0 	0
0.58695652 	0 	0 	0
0.59782609 	0 	0 	0
0.60869565 	0 	0 	0
0.61956522 	0 	0 	0
0.63043478 	0 	0 	0
0.64130435 	0 	0 	0
0.65217391 	0 	0 	0
0.66304348 	0 	0 	0
0.67391304 	0 	0 	0
0.68478261 	0 	0 	0
0.69565217 	0 	0 	0
0.70652174 	0 	0 	0
0.7173913 	0 	0 	0
0.72826087 	0 	0 	0
0.73913043 	0 	0 	0
0.75 	0 	0 	0
0.76086957 	0 	0 	0
0.77173913 	0 	0 	0
0.7826087 	0 	0 	0
0.79347826 	0 	0 	0
0.80434783 	0 	0 	0
0.81521739 	0 	0 	0
0.82608696 	0 	0 	0
0.83695652 	0 	0 	0
0.84782609 	0 	0 	0
0.85869565 	0 	0 	0
0.86956522 	0 	0 	0
0.88043478 	0 	0 	0
0.89130435 	0 	0 	0
0.90217391 	0 	0 	0
0.91304348 	0 	0 	0
0.92391304 	0 	0 	0
0.93478261 	0 	0 	0
0.94565217 	0 	0 	0
0.95652174 	0 	0 	0
0.9673913 	0 	0 	0
0.97826087 	0 	0 	0
0.98913043 	0 	0 	0
